夏目透,7.7,2018-9-10 23:59:41,制度糟蹋人
washighton,8.0,2017-11-8 20:06:35,戴的
熊哥的号,8.0,2016-12-27 14:02:30,法治的冰冷，官员的冷漠，父亲的温情。
Homkee,8.0,2016-9-22 22:01:06,尽管拍摄条件略差，个别镜头和音乐的搭配很出色
独自哥哥,,2015-10-27 14:04:54,《不能没有你》 影评 http://murl.tv/ezTi
绯色_神仙,7.8,2015-10-16 22:36:38,一部非常温情的作品，也揭示了非婚生子女在社会中面临的窘境。
女流-氓,10,2015-2-9 2:50:27,几年前看过，现在仍然印象深刻。
吹普特里,,2014-11-27 4:01:28,小时候目睹的熟悉的人情世情。感动感叹之后，更深思我们能做什么应该做什么
艾珂,9.2,2014-10-28 23:24:42,這是一個吃人的社會
Msbear,8.0,2014-9-8 21:31:39,平淡真实，大为感动。
晓妖婧,7.0,2014-8-17 12:03:11,二年前和你分开，她就不再讲话
Luna_星,8.0,2014-8-16 15:01:50,弱势群体在社会的地位低下，没有保障虽然故事发生在台湾，依然可以带入各个地方，黑白的画面很朴实，现实虽残酷，有亲情也总是好的，也是一种幸福。
gaokimo,7.8,2014-8-14 23:40:25,吃人的世界
yjxue84,8.9,2014-7-10 21:57:37,看着對岸的電影，想着發生在自己身上的事情。
往事迷雾,9.0,2014-7-4 14:49:35,不论 气氛  演技 配乐    还有整个电影的感情氛围，不煽情，都很好。
brighton0312,7.0,2014-5-23 23:52:00,温情的父女情，社会体制是反派，一切的情感都这么脆弱。
残影碎片,8.0,2014-4-2 23:54:35,被剥夺的权利的父爱，就像深渊中急促的喘息，没有氧气，快要窒息。而希望就是水面上熟悉的身影，期盼着能见到你。可以一无所有，但不能失去她，女儿就是一切。无法割舍的亲情，彼此都不能没有彼此！这样的结局是诸多社会问题造成的，是盲目执法的后果，亲生父亲无法和自己的还在一起是多么的可笑，多么的具有讽刺意味。
樱木花城,7.4,2014-2-20 23:55:07,这部电影的精粹在于选材，导演以台湾底层社会的真实案例进行改编创作，的确话题性和现实意义很大。但是导演戴立忍的功力实属有限，没有把这个剧本拍成一部催人泪下的电影，而拍的像焦点访谈，讲故事的职能固然具备，但却少了些电影这一艺术形式的戏剧感和艺术感
唯爱永生,8.3,2014-1-4 22:34:47,在这个冷漠的社会中只有亲情是最真实的，活在阴影处的人有着太多的无奈。
Kevin_凯文,7.6,2013-12-31 17:18:50,这是那年金马奖的最佳影片，导演用平实的手法和黑白的色调刻画出了社会的冷漠和弱势群体的无助，这种现实主义作品不多见了
范小_snake,9.1,2013-12-29 17:28:23,我最喜欢的台湾电影
honeybunny9048,8.6,2013-12-18 14:06:41,爸爸，不能没有你
eidd,9.2,2013-11-25 18:47:23,平淡中的精彩··影片的基调真实的直视主人公内心的世界··没有夸张的渲染只有平淡真实的描绘··以成年人的视角诠释和带动影片的情感···生动而又精彩
尋影,8.5,2013-10-30 20:41:06,温和的批判，但问题值得我们思考，当下的中国我们同样面临，需要我们一起努力才能少一些这样的离别。影片画面、音乐、表演给人的感觉都很舒服，前后情绪的变化自然流畅。
呯呯,8.0,2013-9-26 23:06:25,将镜头对准下层老百姓，就冲着这股人文关怀这部电影也值得去关注，更不用说小人物在不公平境遇中的坚韧在电影中娓娓道来，平实感人。
LexusLiang,9.1,2013-8-18 0:06:03,陈文彬演的很好~~
蘇一,,2013-8-16 0:51:14,2009年8月14日周五「不能没有你 no puedo vivid sin ti」 通过真实事件提出一个问题：这个世界是否公平？答案是no。当然我们无法因为外界的不公平而忽略自身问题。而对于不公平我们如何去改变？本片倒也没有展现这个方面的意图。因为人生总会有改变不了的无法控制的事情！它完全写实风格，高潮部分没有渲染夸张，通篇平淡如水。只不过会在观众脑海里面留下黑白的光影和影像，以及淡淡的忧伤和压抑无奈的心境。久久无法散去。
倚窗摇风铃,10,2013-8-14 13:20:06,第46届台湾电影金马奖(2009)最佳影片，最佳导演，最佳原著剧本。。。戴立忍第二部剧情长片。台湾真实社会事件改编作品，一则父亲与女儿最令人动容的亲情告白。
黑白红,8.0,2013-7-15 1:40:43,大二上课时看的。只记得那位老师推荐的电影都很不错。
六六六,7.6,2013-6-9 7:20:26,讲述台湾老百姓的故事
沃德先生,7.3,2013-6-7 18:11:00,"真不懂导演为什么全片使用黑白,感觉只是一种故事本身的基调,在城市里的画面极其混乱..."
Poalo,7.0,2013-3-18 9:45:29,苍白无力的纯爱世界
chino1462675,8.0,2013-2-2 8:03:30,一部很简单的电影，剧情简洁而直白，有些段落表演夸张却不代表不真实。唯一的疑惑是对影片主旨的表述，对所抨击的最终还是作出了妥协。
老片客,8.2,2012-12-21 17:12:44,台湾真实社会事件改编作品，父女情竟被一纸户口划破，社会局带走拿给别人收养结果不用看我们都能猜到，这就是人民的公仆，为人民服务！不能没有你，今天看着是不是更添一丝悲凉。
爱看电影的阿甘,10,2012-11-24 23:21:04,最近几年的台湾电影很出色，印象比较深的有不能没有你，深刻的反应了现实问题，这是难能可贵的！！！金马奖，很公平，明年见了！
小四6171,6.0,2012-11-16 12:47:13,一向对感动无感
scarlett-wei,8.0,2012-11-12 22:44:01,台湾的很多小电影挺好的啊
当当哥,7.0,2012-10-29 22:43:51,1.题材很感人 效果一般般2.都说政府是人民的儿子 至多是个败家子吧 花着人民的血汗钱享受着人民的宠爱 却做着让人民伤心失望绝望的事 说着花哨的话 却从不做该做的事3.或许结尾的时候他们缺了一个久别重逢的拥抱4.贫穷的人生真是悲凉啊...
JasonG,9.1,2012-10-2 3:59:55,细节镜头丝丝入扣。画面与父亲形成了对社会最苍白无力的控诉，
sTAnLEy,6.0,2012-9-5 1:58:02,评分那么高，虽然是写实，也是真人改编，还算蛮煽情的，但是不算特别好看。。
恐惧绿色,9.4,2012-9-2 17:24:25,记录片一般，对残酷的现实隐忍了60分钟后，我和那个父亲一起爆发了，最后一刻愤慨伴随泪崩，这个世界的权利属于上层社会，义务属于下层社会。
乐冰,8.9,2012-8-26 0:39:47,武雄从社会局出来，女儿被强制带走了。他一个人孤单地走在马路上，洒水车从身后开过来，洒了他一身水。社会底层的小人物命运的无力感在这个镜头里表现得淋漓尽致。
baaldiltt,7.0,2012-8-14 21:48:59,没有那么好看··不过还可以
Page刘,7.7,2012-8-14 17:47:07,上映日观影：导演戴立忍用一起社会案件背后的故事拍出了一个底层真实心酸的台湾。反思所谓的法制连最基础的亲情都不能维护，影片用黑白色调直观无修饰的讲述这个真实发生在社会各个角落的爱。爸爸站在船头，妹仔站在岸边，拉近，结束。DVD集成导演在46届金马奖泣不成声的最佳导演和影片颁奖~比较有意义
纯蓝色Steven,8.6,2012-7-25 15:42:38,没有青春偶像，没有小清新、没有黑道白道、没有跌宕起伏，甚至没有彩色画面，也一样可以成为台湾电影的上乘之作。
Lazhar,10,2012-7-21 15:11:34,与其说这是一部电影，倒不如说这是一部纪录片。记录着社会百态，记录着人间冷暖，记录着父女情深。
Andrea-白兔,8.0,2012-7-14 16:11:07,像纪录片的感觉 真实
差不多先森,,2012-6-15 13:13:09,#电影中你最欣赏的父亲角色#《不能没有你》 有爸爸的女孩才是公主。@卡片机器人一号 
不羁的年年,8.0,2012-5-6 22:56:21,看的台湾偶像剧和小清新电影总是会让你觉得这地方一定是就如这般美好的，但哪个地方都有贫穷，都有生活在很底层的人，当官的打官腔，人们冷漠，势利眼，生活在底层的没有讲公平的可能，这种在国内有的，对岸也一样有，总之看到了不一样的台湾，真实的台湾
山风,5.0,2012-3-31 13:12:06,台湾和大陆还是有很多本质上的区别的！弱势群体确实值得关注，但是在大陆真是关注不过来了，甚至自己不知不觉也在走向弱势！也许在台湾此类事件值得感慨一下，在大陆大家对于这样的事件也许真是麻木疲劳了！
美女静,7.0,2012-3-21 10:55:39,中规中矩的写实片，真实事件拍的轻灵，缺少一点厚重感，细腻程度也远不能跟《天水围的日与夜》比。
米兰达_,7.0,2012-3-11 23:27:58,现在只想说，故事和《流星语》基本上一模一样，海报都是一样的。
钢牙1989,9.0,2012-3-11 0:18:00,怪不得台湾不愿回归，这父女俩要在大陆，父亲在拘留所够呛能出来，女儿在寄养家庭够呛有好日子过
西风独步,8.0,2012-2-19 16:59:36,太过煽情了
suiiccc,9.0,2012-2-13 14:00:32,电影的色彩以及它所反映出的社会..
Black_Maria,7.0,2012-2-12 17:46:43,题材故事还是很动人的。但是画面上由于倾向于纪录片风格，色彩对比度太低呈一片灰色，重要物体无法突出，除了最后一段镜头里女儿的白裙子。
妈妈丸子,8.0,2012-2-8 9:13:51,虽然对黑白片没有爱，但不得不说这样的一个父亲还是深深地感动到了我。可悲的是，亲情在所谓的政府法律程序面前渺小得可怜。导演的剪辑和电影的配乐都让人感觉很舒服。很自然。所以，感动到落泪也是很自然的一件事。 
adam714,8.7,2011-12-21 15:53:03,坚持使用最淳朴的黑白画面，不为票房妥协，这就是有追求的导演的选择。一个很真实的故事，反应很真实的人生，就应该用很真实的表达手法。而在这真实中流露出来的亲情、友情，为这个残酷而黑白的世界，增添了力量非凡的暖意。
Mramani,8.0,2011-12-10 9:24:01,社会不只是不公平，还很冷漠残忍。
棋子4408115,9.0,2011-12-4 23:28:31,法律真的不能解读人的感情，所以往往伤害到更多的人。很出色的一出人文电影。
驼铃,7.0,2011-12-1 18:20:08,台湾人追求的亲情
八爪,6.2,2011-11-29 23:50:08,放在天朝……这个算事吗？
phantomusic,9.7,2011-11-21 20:48:00,好电影也是会绕梁三日的。。。
阿廖沙,9.0,2011-11-9 21:25:57,关于电影《不能没有你》：刚刚在豆瓣电影的搜索栏里把片名打成了“和你在一起”。
小抱子,8.4,2011-11-7 22:39:46,简单，真实，所以特别感动！
Marcia,8.5,2011-11-5 11:03:34,很有日本旧片的味道，台湾电影的一个优点就是借鉴了日式电影镜头的沉静，这个故事本身是一则社会新闻，若要有所提升就必须着力刻画父女间的细节和情绪，戴立忍几乎是克制地完成了这个任务，但我觉得有些地方还是没有把持住，配乐并不恰到好处
ewayren,7.0,2011-11-1 11:43:24,台湾父女情，低调而感人
明志,8.0,2011-10-20 22:39:26,简单而温情 黑白的呈现让我更能从心去观看
发克茨·朗,4.8,2011-10-15 0:13:38,这尼玛都能得金马奖
迷糊小飞侠,,2011-10-6 21:07:00,10月2日，成都重庆之行的第一天，飞机上、宾馆里通过miumiu完成了这部影片的观看。果然不辜负大半年前两个人的推荐，黑白片很写实小女孩很可爱~老是把这部电影的名字误以为《和你在一起》，可能是因为这名儿更符合我当时的观影状态吧
成師傅爱喝水,8.6,2011-9-27 1:38:52,节奏舒服。那段爸爸在海里看着女儿慢慢下潜，看的我心隐隐作痛。
落泪Sahara,7.0,2011-9-26 23:10:47,这部取材于真实事件的影片，总头到尾的黑白影像仿佛已经告诉我们这部片子的基调了。片中音乐与人物心情的处理也比较到位，深刻地反映了社会问题，还好影片的结尾进行了“善后”~
Se7en丶小七,8.4,2011-9-10 21:48:47,干净而纯粹的感动。
木森林ManSon,8.3,2011-8-16 18:42:27,黑白，真挚，感人。    字幕的出来，我才意识到电影的结束，但眼泪已经不自觉的再眼眶中打了几个转。结局有点突然，但让人浮想连连，父女两人会抱头痛哭，还是简单的一句，爸爸。我不知道。
Stephen_Chow,7.0,2011-8-13 23:31:34,如果不是获得金马奖，我想我是不会坚持把它看完的。没有太多的感动，只是单纯的被小女孩甜美纯真的笑脸所触动。
Uto灭绝,7.5,2011-8-13 21:54:42,这个戴立忍，和在《剑雨》里变戏法的戴立忍，和桂纶镁的男朋宇的戴立忍。。。。很难在脑海中建立一个统一的形象耶，但是，很喜欢。
Esionstory,8.7,2011-8-6 20:27:49,如果不是这部电影，我会以为台湾这年头只有偶像剧和文艺片。整个故事像极了真实的记录，强烈地撼动着人的内心情感。
常月缠,8.0,2011-7-31 9:58:50,看着很心疼的电影，觉得特别的无力。
银他妈,8.0,2011-7-9 23:24:24,太第三人称了......
醉情公子,9.0,2011-7-8 16:07:08,令人感动的父女之爱。也许，世界上真的会有一个你不能离开的人。
异亮氨酸,10,2011-6-30 23:20:47,感动中有一丝淡淡的苦楚。
八卦雞,7.8,2011-6-28 10:55:15,可以失去生命，但却不能失去你。
王策1715737,9.0,2011-6-26 14:13:39,非常好的小制作电影，戴立忍的镜头感一流，画面语言异常丰富，可以算是近几年中排名前几位的电影佳作。值得推荐。
大萝卜,7.5,2011-6-23 23:39:36,"感动了我,我热爱这样的一群人"
只因相遇太匆忙,,2011-6-6 12:57:25,说不出的悲伤，说不出的感动。
花卷不是面食,8.0,2011-5-21 21:40:22,我一直看，一直看，就能看得见。
烟雨凄迷,8.0,2011-5-15 12:43:44,真诚面对需要帮助的人，而非围观及互相推诿
阳关酒,9.5,2011-5-12 13:19:43,父爱，在这个缺失公平的社会里，闪耀着夺目光芒！（年度上佳电影！）
ChatBigMountain,10,2011-5-4 12:40:56,台湾式秋菊打官司，男主演技很高，黑白影调有特殊效果
whysta,7.5,2011-4-26 0:43:26,没有精心设计的镜头语言，也没有华丽的画面，甚至褪去了现实世界的色彩斑斓。故事向我们展现了两个被社会边缘化的小人物的平凡生活和内心世界。没有绝望到底，也没有咸鱼翻身，只有深沉的浓浓的爱——父亲对女儿的爱，以及女儿对父亲的爱。
yuhao2010,10,2011-4-8 12:53:46,父爱到底有多伟大？谁会知道？
Zhaozq11_Stefan,8.0,2011-4-3 18:53:52,一点儿也不假。
我们一起883312,10,2011-3-12 0:59:34,能成为经典而传世
脱发的刺猬,7.0,2011-3-2 13:53:05,不温不火的台湾 不温不火的电影 不温不火的台湾电影
岸上,7.0,2011-2-20 2:04:20,感觉就是记录片
江户川乱摸,8.0,2011-2-18 13:06:19,&quot;社会不公平&quot;借由父亲之口说出时，显得那么不甘与无助。
山中大雾看景,8.0,2011-2-15 22:44:52,父爱，永远都是那么的感人……
M灰大狼,8.0,2011-2-9 1:06:30,可以作为一部记录片了，法律是显得那么的苍白
银陌,8.5,2011-2-6 17:17:16,当机车飞驰时，世界仿佛只剩下他们两个。在机车后紧紧抱着你，即使一无所有又如何？失了你，我的世界也褪了色。PS：我喜欢里面的钢琴插曲。黑暗的色调不是很喜欢，画面看起来太压抑。
阿呼,7.7,2011-1-29 0:57:25,一直看，一直看，一直看，就看到了真实的爱
紫蕤,9.0,2011-1-28 15:45:54,充分体现出戴立忍的才情！
realrice,8.0,2011-1-28 1:52:02,还好有口哨让心情好一点
mimoll,9.1,2011-1-23 23:33:15,黑白映像，真实的触感，不做作的感动
naro,8.3,2011-1-18 15:39:30,黑白的电影画面淡淡的呈现了一个生活在底层的男人和女儿之间的爱，简单、质朴、真实、打动人心，台湾电影总能带给人感动和共鸣。
serlay,4.0,2011-1-17 20:26:37,本来就觉的台湾电影绝对&quot;够&quot;了.突发奇想的看看金马奖的获奖电影吧，没想到哦~~~竟然是这个样子，伤心。
SGJY,8.0,2011-1-14 21:22:35,平实质朴的讲述小人物的故事。
李天啸,8.0,2011-1-9 21:19:22,比什么和你在一起好多了
文淼1895,8.0,2011-1-1 16:10:06,真难以想像本片居然跟《台北晚九朝五》出自同一个导演。
五竹,7.8,2010-12-14 14:48:01,如果你将离去，那我也不再有道理活的开心。
djoko,8.1,2010-12-10 23:14:51,今天第二次看，看到爸爸的眼泪，还是很感动，看到片尾还是很感动，除了节奏很慢第二次看就觉得有点没耐性之外，都很好。配乐真的很赞！
xixi19840428,8.0,2010-12-2 16:04:28,台湾至少让拍这种电影。
aiN-Liao,8.3,2010-11-24 14:19:34,正如父女间隔着海水的对望一样，虽然现实对父女作出了阻隔，但相互间的关爱就如那穿透海水的视线般穿越这种阻隔使双方的身影清晰可见。爱，是一直看一直看就看得到的。
wacky瓜,7.4,2010-11-19 10:20:45,主打沉闷路线的台湾电影，黑白的画面讲述电影版《情感故事》，去电视台换个情感节目，一抓一把
阿宝1489284,9.0,2010-11-18 10:25:20,强大的剧本，完美的结局
戈达尔,8.2,2010-11-14 9:28:35,成熟的视听语言，带领我们进入一个宁静真诚的内心情感世界。
宇速飞翔,9.0,2010-11-13 11:56:30,戴立忍是个不错的演员，但他更应该当导演，仅有两部作品，都有特立独行的味道。与《台北朝九晚五》的尖锐不同，这部纯黑白的写实片，朴实诚恳，温情却不煽情。生活在海边最底层，木讷的父亲和小女儿相依为命，为了仅有的一点权力去抗争，不愿分离……不会让你落泪，却依然触动心底的柔软。
leonsier,8.0,2010-11-8 16:42:42,"哎,台湾的公务员对草民的态度直是太好了,不过台湾入学政策真的有那么神奇?"
matchn,,2010-11-7 16:12:38,很好的片子，有些不理解为什么拍成黑白电影，很多镜头如果用彩色的话，会更美丽。
eviltendy,8.0,2010-10-10 17:40:05,每个人似乎都尽职尽责，但都没用心用力，黑白色的世界，人们都是冷漠的，船长对潜水者的冷漠，看新闻的人对跳桥者的冷漠，立法委对民众问题的冷漠，行政部门的冷漠，唯一的希望就是不断的坚持，最终终于父女团圆。
于斯为盛,7.0,2010-10-8 22:15:45,因为金马大奖，才看这部片子。对底层的关注，社会问题片，以题材与写实风格取胜。用黑白其实大可不必。观众感动于父女情深，反倒掩盖了影片对社会问题的批判意图。如果把它看成伦理片，我觉得还不如《左右》令人纠结呢。
马达86,8.0,2010-9-26 17:41:08,取材自阵势故事，這是影片让人感到揪心的地方
WANTEDU,8.0,2010-9-21 0:10:57,黑白的映像注定了这是个残酷的现实故事，影片充满了父爱，“社会不公平！”父女回程一路，音乐轻快，有阳光温情。社会最底层的父爱来的是那么真实，整个社会对底层人有了一种思维定式，他们的一切行为都是要去严刑拷打的！影片也揭露了台湾小岛的政府对待底层人民的不公正！
懒魚,,2010-9-14 21:31:10,想起去年发生的几起跳桥事件，现在想想，不到了迫不得已的地步，又怎么会用这么无奈的方法。黑白是最好的颜色来表达了，很纯粹。  “爸爸，你在海里都好久，我想和你在一起” 　　 　　“妹仔，妳看得到我吗？” 　　 　　“看得到啊！” 　　 　　“海那么深，妳怎么看得到？” 　　 　　“
馆长,8.0,2010-9-12 23:36:47,后一小时好像只过了5分钟
崔崔amber,9.0,2010-9-7 16:45:11,多感人的。。。万恶的社会啊。。。
Susan802827,8.0,2010-8-31 8:38:58,原来官僚到处都是一样一样滴
达达猫,8.5,2010-8-28 20:27:44,故事很简单，简单的就是现实，社会的底层生活是那么的不容易，生活的艰辛，亲情的无法逾越，让人久久不能忘怀。
seayongw,8.0,2010-8-20 16:23:30,关注底层民众的生活，细致入微。不容易。
尧宝217217,8.6,2010-8-18 21:17:47,政府部门是为百姓办事 那为什么办起事来那么复杂呢 一点也没感觉到便民
supersuper,9.0,2010-8-14 17:37:51,已经收藏此片
不真实的莫里哀,8.0,2010-8-14 13:15:41,。。。。。。
